cellname	celltype
tma_facs_2086	B cell
tma_facs_3271	B cell
tma_facs_621	B cell
tma_facs_15331	Monocyte
tma_facs_15226	Monocyte
tma_facs_19186	T cell
tma_facs_2845	B cell
tma_facs_687	B cell
tma_facs_339	B cell
tma_facs_3337	B cell
tma_facs_15155	Monocyte
tma_facs_3008	B cell
tma_facs_180	B cell
tma_facs_191	B cell
tma_facs_20250	T cell
tma_facs_14488	B cell
tma_facs_1494	B cell
tma_facs_1471	B cell
tma_facs_20500	T cell
tma_facs_1673	B cell
tma_facs_14456	Monocyte
tma_facs_1155	B cell
tma_facs_14895	Monocyte
tma_facs_15705	Monocyte
tma_facs_1356	B cell
tma_facs_2182	B cell
tma_facs_10983	Granulocyte
tma_facs_3205	B cell
tma_facs_3282	B cell
tma_facs_1867	B cell
tma_facs_20498	T cell
tma_facs_19594	T cell
tma_facs_14499	Monocyte
tma_facs_3052	B cell
tma_facs_15653	B cell
tma_facs_19357	T cell
tma_facs_15526	Monocyte
tma_facs_19009	T cell
tma_facs_18985	T cell
tma_facs_478	B cell
tma_facs_15630	Monocyte
tma_facs_2321	B cell
tma_facs_3200	B cell
tma_facs_1528	B cell
tma_facs_11435	Granulocyte
tma_facs_15168	Monocyte
tma_facs_399	B cell
tma_facs_15637	B cell
tma_facs_523	B cell
tma_facs_19581	T cell
tma_facs_14343	Monocyte
tma_facs_1448	B cell
tma_facs_15472	Monocyte
tma_facs_15682	Monocyte
tma_facs_11117	Granulocyte
tma_facs_2707	B cell
tma_facs_1265	B cell
tma_facs_3103	B cell
tma_facs_20635	T cell
tma_facs_1314	B cell
tma_facs_19057	T cell
tma_facs_11190	Granulocyte
tma_facs_186	B cell
tma_facs_2057	B cell
tma_facs_20578	T cell
tma_facs_19674	T cell
tma_facs_14846	Monocyte
tma_facs_653	B cell
tma_facs_11563	Granulocyte
tma_facs_19564	T cell
tma_facs_550	B cell
tma_facs_11218	Monocyte
tma_facs_1871	B cell
tma_facs_15327	Monocyte
tma_facs_851	B cell
tma_facs_781	B cell
tma_facs_14344	Monocyte
tma_facs_15813	NK cell
tma_facs_6	B cell
tma_facs_2977	B cell
tma_facs_2994	B cell
tma_facs_2665	B cell
tma_facs_11070	Granulocyte
tma_facs_45	B cell
tma_facs_20913	T cell
tma_facs_15491	Monocyte
tma_facs_19692	T cell
tma_facs_14497	Monocyte
tma_facs_2085	B cell
tma_facs_2112	B cell
tma_facs_20370	T cell
tma_facs_2350	B cell
tma_facs_695	B cell
tma_facs_20214	T cell
tma_facs_18865	T cell
tma_facs_14473	Monocyte
tma_facs_3277	B cell
tma_facs_20906	T cell
tma_facs_11074	Granulocyte
tma_facs_3210	B cell
tma_facs_2869	B cell
tma_facs_1683	B cell
tma_facs_2920	B cell
tma_facs_1301	B cell
tma_facs_15938	T cell
tma_facs_14847	Monocyte
tma_facs_19028	T cell
tma_facs_160	B cell
tma_facs_907	B cell
tma_facs_11017	Granulocyte
tma_facs_2759	B cell
tma_facs_15198	Monocyte
tma_facs_893	B cell
tma_facs_296	B cell
tma_facs_20122	T cell
tma_facs_2747	B cell
tma_facs_14599	Monocyte
tma_facs_11487	Granulocyte
tma_facs_14	B cell
tma_facs_14329	Monocyte
tma_facs_1348	B cell
tma_facs_1953	B cell
tma_facs_11619	Granulocyte
tma_facs_11240	Granulocyte
tma_facs_20520	T cell
tma_facs_19871	T cell
tma_facs_938	B cell
tma_facs_2325	B cell
tma_facs_11311	Granulocyte
tma_facs_1840	B cell
tma_facs_19218	T cell
tma_facs_14868	Monocyte
tma_facs_20228	T cell
tma_facs_19376	T cell
tma_facs_14214	Monocyte
tma_facs_1712	B cell
tma_facs_19058	T cell
tma_facs_19378	T cell
